Year,Month,MonthNumber,Sales
2024,Nov,11,14592.0
2024,Dec,12,15969.0
2025,Jan,1,13660.0
2025,Feb,2,11199.0
2025,Mar,3,13110.0
2025,Apr,4,13789.0
2025,May,5,15069.0
2025,Jun,6,16545.0
2025,Jul,7,18329.0
2025,Aug,8,17626.0
2025,Sep,9,17010.0
